VC_COMP_CODE,ITEM_CODE,ITEM_NAME,CLASIFICATION,GROUP_NAME,SUB_GROUP_NAME,STOCK_Consumption_MONTH,Stock_BAL,REORDER_LEVEL,PENDING_PO,PENDING_SO
03,00138,LAYERED FISH IN FERMENTATION VATS,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
03,00139,FERMENTED FISH MASH,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
03,00140,LIQUID FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
03,00141,FILTERED AND CLARIFIED FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00142,PASTEURIZED FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00143,AGED AND FLAVORFUL FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00137,SALTED FISH (2:1),Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00138,LAYERED FISH IN FERMENTATION VATS,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00139,FERMENTED FISH MASH,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00140,LIQUID FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
04,00141,FILTERED AND CLARIFIED FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00142,PASTEURIZED FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00143,AGED AND FLAVORFUL FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00137,SALTED FISH (2:1),Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00138,LAYERED FISH IN FERMENTATION VATS,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00139,FERMENTED FISH MASH,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00140,LIQUID FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
01,00141,FILTERED AND CLARIFIED FISH SAUCE,Semi-Finished Goods,SEA FOOD -FISH,Processed Food,0,0,0,0,0
02,00168,D03E MCU,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
02,00169,D03E MCU Q1,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
02,00170,D03E MCU Q2,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
03,00168,D03E MCU,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
03,00169,D03E MCU Q1,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
03,00170,D03E MCU Q2,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
04,00168,D03E MCU,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
04,00169,D03E MCU Q1,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
04,00170,D03E MCU Q2,Finished Goods,Electric,MCU Assembly,0,0,0,0,0
01,00168,D03E MCU,Finished Goods,Electric,MCU Assembly,0,0,500,0,0
01,00169,D03E MCU Q1,Finished Goods,Electric,MCU Assembly,0,0,500,0,0
01,00170,D03E MCU Q2,Finished Goods,Electric,MCU Assembly,0,0,500,0,0
02,00147,HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00148,IRONWARE- HEXA COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00149,SEAL GASKET FOR HEAT SINK,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00151,IRONWARE- ALUMINIUM COLUMN,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00152,PLASTIC COVER ISOLATION COLUMN 0.28*0.35 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00162,PLASTIC COVER ISOLATION COLUMN 4.2*20 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00163,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00165,STANDARD PART CROSS SCREW 12*1 INCH,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00166,WATERPROOF AIR VALVE BLACK WITH O RING,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
02,00167,COVER PLASTIC,Raw Material,ELECTRIC PARTS,MCU RM,0,0,0,0,0
